Frame,Visibility,X,Y
369,0,-1,-1
370,0,-1,-1
371,0,-1,-1
372,0,-1,-1
373,0,-1,-1
374,0,-1,-1
375,0,-1,-1
376,0,-1,-1
377,0,-1,-1
378,1,858,513
379,1,855,502
380,1,855,495
381,1,851,483
382,1,851,476
383,1,847,465
384,1,843,453
385,1,843,450
386,1,843,446
387,0,-1,-1
388,0,-1,-1
389,1,836,423
390,1,832,416
391,1,832,412
392,1,828,405
393,1,825,405
394,1,825,401
395,1,821,397
396,1,813,393
397,1,813,390
398,1,813,390
399,1,813,390
400,1,810,390
401,1,810,393
402,1,806,393
403,1,806,393
404,1,806,397
405,0,-1,-1
406,1,795,401
407,1,791,405
408,1,787,408
409,1,787,412
410,1,783,420
411,1,780,427
412,1,776,431
413,1,772,438
414,0,-1,-1
415,1,768,457
416,1,768,465
417,1,765,476
418,1,761,483
419,1,757,495
420,1,753,510
421,1,750,521
422,1,750,540
423,0,-1,-1
424,1,757,510
425,1,757,506
426,0,-1,-1
427,0,-1,-1
428,0,-1,-1
429,0,-1,-1
430,0,-1,-1
431,0,-1,-1
432,0,-1,-1
433,1,810,375
434,1,813,371
435,1,817,360
436,1,821,352
437,1,828,341
438,1,832,333
439,1,836,326
440,1,847,315
441,1,851,307
442,1,855,303
443,1,858,300
444,1,858,296
445,1,862,292
446,1,873,288
447,1,877,285
448,1,881,285
449,1,888,281
450,1,896,281
451,1,903,281
452,1,907,281
453,1,911,281
454,1,915,281
455,1,918,285
456,1,922,285
457,1,930,288
458,1,937,296
459,1,945,300
460,1,948,307
461,1,952,311
462,1,960,318
463,1,963,322
464,1,967,330
465,1,975,337
466,1,978,348
467,1,986,360
468,1,990,367
469,1,997,382
470,1,1001,393
471,1,1008,408
472,1,1008,416
473,1,1012,427
474,1,1020,442
475,0,-1,-1
476,0,-1,-1
477,1,982,498
478,0,-1,-1
479,1,1038,521
480,1,1038,513
481,1,1038,502
482,1,1038,495
483,1,1038,487
484,1,1038,483
485,0,-1,-1
486,1,1038,476
487,1,1038,468
488,1,1038,465
489,1,1035,461
490,1,1035,457
491,1,1035,457
492,1,1035,457
493,1,1035,453
494,0,-1,-1
495,1,1038,457
496,1,1035,461
497,1,1035,465
498,1,1035,468
499,1,1035,476
500,1,1038,480
501,1,1035,487
502,1,1035,498
503,1,1031,510
504,1,1035,521
505,1,1031,536
506,1,1031,547
507,0,-1,-1
508,0,-1,-1
509,1,1023,592
510,0,-1,-1
511,0,-1,-1
512,0,-1,-1
513,1,1005,540
514,1,997,517
515,1,993,502
516,1,990,483
517,1,982,468
518,1,975,453
519,1,971,435
520,1,967,423
521,1,956,408
522,1,956,401
523,1,952,393
524,1,945,386
525,1,941,378
526,1,937,375
527,1,930,371
528,1,926,367
529,1,918,360
530,1,911,352
531,1,911,356
532,1,907,356
533,1,903,360
534,1,900,363
535,1,896,367
536,1,888,367
537,1,885,371
538,1,881,378
539,1,877,386
540,1,873,390
541,1,870,397
542,1,862,405
543,1,858,416
544,1,855,423
545,1,851,431
546,1,847,446
547,1,843,457
548,1,840,465
549,1,836,487
550,1,836,487
551,1,840,491
552,1,843,495
553,1,862,491
554,1,873,495
555,1,881,491
556,1,888,495
557,1,900,502
558,1,907,502
559,1,915,510
560,1,926,517
561,1,933,521
562,1,941,528
563,1,948,536
564,1,952,543
565,1,960,551
566,1,967,558
567,0,-1,-1
568,0,-1,-1
569,0,-1,-1
570,0,-1,-1
571,0,-1,-1
572,0,-1,-1
573,0,-1,-1
574,0,-1,-1
575,0,-1,-1
576,1,990,555
577,1,986,543
578,1,986,536
579,1,978,513
580,1,978,506
581,1,978,498
582,1,971,483
583,1,967,476
584,1,967,468
585,1,960,457
586,1,960,453
587,1,956,446
588,1,952,438
589,1,952,435
590,1,945,427
591,1,941,423
592,1,937,420
593,1,933,412
594,0,-1,-1
595,0,-1,-1
596,1,926,412
597,1,922,408
598,1,918,408
599,1,915,408
600,1,911,412
601,1,907,412
